"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
9.2,4,0.5,-6.4,-1.6,1.1,-64,-26.1,-3.7
9.3,4,0.5,-6.1,-0.3,2.1,-63.7,-26.9,-4.6
9,4,0.5,-5.2,0.8,2.2,-63.7,-26.9,-4.6
9,3.9,0.5,-2.9,0.2,1.1,-64,-25.8,-4
9,3.9,0.5,-0.5,0.1,-0.4,-64,-25.8,-4
8.9,3.8,0.5,1.8,0.3,-1.3,-62.7,-25.8,-5.2
8.9,4,0.6,1.6,0.1,-2.1,-62.7,-25.8,-5.2
9,3.9,0.5,-2.8,-1.7,-1,-63.4,-26.2,-4.1
9.4,3.8,0.4,-4.6,-2.6,-0.2,-63.4,-26.2,-4.1
9.3,3.8,0.4,-3.4,-1.4,1.7,-64.5,-26.4,-3.8
9.1,4,0.5,-1.1,-0.3,3.2,-64.5,-26.4,-3.8
9.1,4,0.5,-1.4,-0.5,3.1,-64.1,-26.1,-5.2
9,4,0.5,0.1,-0.6,2.6,-64.1,-26.1,-5.2
8.9,4.1,0.5,1.8,-0.1,1.5,-64.4,-25.4,-4.9
9,4,0.6,-0.2,-1.5,0.1,-64.4,-25.4,-4.9
8.9,4,0.6,-1.5,-1.6,-0.3,-63.4,-26.2,-4.7
8.9,4,0.5,-1.4,-1.6,-0.6,-63.4,-26.2,-4.7
9,4,0.5,-1.9,-1.2,-0.6,-64.8,-25.5,-3.8
9,4,0.5,-2.5,-0.7,-0.6,-64.8,-25.5,-3.8
9.1,4,0.4,-2.9,-0.9,-1.1,-63.8,-25.1,-3.9
9.1,4,0.4,-1.4,-1.1,-1.5,-63.8,-25.1,-3.9
9.1,4,0.4,-0.7,-1.6,-2.4,-63.4,-25.8,-4.7
9.1,4,0.3,-1.2,-2.1,-2.8,-63.4,-25.8,-4.7
9,3.9,0.5,-1.2,-2.5,-2.9,-63.4,-25.9,-5
9,3.9,0.4,-0.9,-3.1,-2.8,-63.4,-25.9,-5
9.2,4,0.4,-0.4,-2.4,-2.3,-64.5,-25.9,-4.7
9.1,4,0.5,-0.3,-2.2,-1.6,-64.5,-25.9,-4.7
9,4,0.5,-0.7,-2.1,-1.4,-64.5,-25.5,-4.7
9.1,4,0.5,-0.6,-2.7,-1.7,-64.5,-25.5,-4.7
9.1,4.1,0.5,-0.6,-2.7,-1.4,-63.7,-25.9,-3.1
9.1,4.1,0.5,-1.2,-1.9,-1.4,-63.7,-25.9,-3.1
9.1,4,0.5,-1.9,-1.8,-1.4,-63.8,-25.9,-3.6
9.2,4,0.5,-1.9,-1.4,-1.2,-63.8,-25.9,-3.6
9.1,4,0.5,-1.4,-0.6,-0.9,-63.4,-26.2,-4
9.1,4.1,0.5,-1.9,-0.4,-0.4,-63.4,-26.2,-4
9.1,4,0.5,-2.8,-0.2,-0.1,-64.1,-26.2,-4.8
9,4,0.5,-2.4,0.1,-0.1,-64.1,-26.2,-4.8
9.1,4,0.5,-1.8,0.8,-0.1,-64,-25.5,-4.2
9,4,0.5,-1.8,0.7,0.2,-64,-25.5,-4.2
9.1,4,0.5,-2.2,0.4,0.4,-63.7,-26.2,-4.1
9.1,4,0.4,-2.9,0.4,0.8,-63.7,-26.2,-4.1
9,3.9,0.4,-1.9,0.5,1.1,-63.7,-26.2,-4.1
9.1,3.9,0.4,-1.1,0.3,1,-64,-26.2,-4
9.1,3.9,0.4,-0.1,1,1.1,-64,-26.2,-4
9,3.9,0.4,0.2,0.8,1,-64,-25.9,-5.1
9,3.9,0.4,0.1,0.2,1.1,-64,-25.9,-5.1
9.1,3.9,0.4,-0.4,0.1,1.9,-64,-25.5,-4
9.1,3.9,0.4,-0.1,0.2,2.1,-64,-25.5,-4
9.1,3.9,0.3,0.6,0.1,2,-64,-25.8,-5.2
9,4,0.5,1.1,0.5,1.9,-64,-25.8,-5.2
9,4,0.4,0.2,-0.8,1.7,-63.7,-25.1,-5.2
9.1,4,0.5,0.1,-0.7,1.8,-63.7,-25.1,-5.2
9.1,4,0.5,0.5,-0.1,2,-63.7,-25.9,-5.2
9.1,4.1,0.5,0.1,0.1,2.3,-63.7,-25.9,-5.2
9.1,4.1,0.5,0.1,0.1,1.8,-64.4,-25.1,-5.2
9.1,4.1,0.5,0.1,-0.1,1.3,-64.4,-25.1,-5.2
