"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
-0.8,-1,9.5,0.1,-0.1,-0.1,-16.2,0.2,-20.1
-0.8,-1.1,9.5,0,-0.2,-0.1,-15.2,-0.4,-19.4
-0.8,-1,9.5,0,-0.1,-0.2,-15.2,-0.4,-19.4
-0.8,-1,9.5,0,0.1,0.1,-15.9,0,-20.6
-0.8,-1.1,9.5,0.1,-0.1,0.1,-15.9,0,-20.6
-0.8,-1.1,9.5,0,-0.1,0.1,-15.9,0,-20.1
-0.8,-1.1,9.5,-0.1,0.4,-0.2,-15.9,0,-20.1
-0.8,-1.1,9.5,0.1,0.1,0,-15.2,0,-19.8
-0.8,-1.1,9.5,0,-0.2,0,-15.2,0,-19.8
-0.8,-1.1,9.5,0,-0.2,0,-15.9,0,-20.6
-0.8,-1,9.5,0,0.2,-0.1,-15.9,0,-20.6
-0.8,-1.1,9.5,0.1,0.1,-0.1,-15.2,0.2,-20.9
-0.8,-1,9.5,0,0,-0.1,-15.2,0.2,-20.9
-0.8,-1.1,9.5,-0.1,-0.1,0.1,-15.6,0,-19.8
-0.8,-1.1,9.5,0.1,0,0.1,-15.6,0,-19.8
-0.8,-1.1,9.5,0,0.1,0,-15.6,0,-19.8
-0.8,-1.1,9.5,0,-0.1,0,-15.6,0.2,-20.1
-0.8,-1.1,9.5,0,-0.2,0.1,-15.6,0.2,-20.1
-0.8,-1,9.5,-0.1,0,0,-15.6,0.2,-19.4
-0.8,-1,9.5,0,0,0.1,-15.6,0.2,-19.4
-0.8,-1,9.5,0,0.2,0.1,-15.6,0.2,-20.1
-0.8,-1.1,9.5,0,0,0.1,-15.6,0.2,-20.1
-0.8,-1.1,9.5,0,0,0,-15.9,-0.4,-19.4
-0.8,-1,9.5,0,-0.1,0,-15.9,-0.4,-19.4
-0.8,-1,9.5,0,0,0,-15.9,0.2,-18.9
-0.8,-1,9.5,0.1,-0.1,0.1,-15.9,0.2,-18.9
-0.8,-1,9.5,-0.1,0.1,0.1,-15.9,0.2,-20.6
-0.8,-1,9.5,-0.1,0,-0.1,-15.9,0.2,-20.6
-0.8,-1,9.5,-0.1,0.1,0.1,-15.9,0,-20.9
-0.8,-1,9.5,0,0.1,-0.1,-15.9,0,-20.9
-0.8,-1.1,9.5,-0.1,0,-0.1,-14.8,0,-20.6
-0.9,-1,9.5,0,-0.1,-0.1,-14.8,0,-20.6
-0.8,-1.1,9.5,0,-0.2,-0.1,-15.6,1.1,-19.8
-0.8,-1,9.5,-0.1,-0.1,0.1,-15.6,1.1,-19.8
-0.8,-1.1,9.5,0.1,0,-0.2,-15.6,1.1,-20.1
-0.8,-1,9.5,0.1,0.1,-0.1,-15.6,1.1,-20.1
-0.8,-1,9.5,0,0.1,-0.1,-15.9,1.1,-20.9
-0.9,-1.1,9.5,0.2,0.2,-0.1,-15.9,1.1,-20.9
-0.8,-1.1,9.5,0,-0.1,0.1,-16.2,0,-20.1
-0.8,-1.1,9.5,0,0,-0.1,-16.2,0,-20.1
-0.8,-1.1,9.5,-0.1,0,0.1,-15.9,0,-20.6
-0.8,-1,9.5,0,0,0,-15.9,0,-20.6
-0.8,-1,9.5,0.1,0.1,-0.1,-15.6,-0.4,-20.6
-0.8,-1.1,9.5,0.1,0.1,-0.1,-15.6,-0.4,-20.6
-0.8,-1.1,9.5,0.1,-0.2,0.1,-15.9,-0.4,-20.1
-0.8,-1,9.5,0,-0.1,0,-15.9,-0.4,-20.1
-0.8,-1,9.5,-0.1,-0.3,0,-15.6,-0.4,-19.8
-0.8,-1.1,9.5,-0.1,0,0.1,-15.6,-0.4,-19.8
-0.8,-1.1,9.5,-0.1,-0.1,-0.1,-15.9,0.7,-20.6
-0.8,-1,9.5,-0.1,0,0.1,-15.9,0.7,-20.6
